Attribute ID: 219, Name: has_size::small_(5_-_9_in), Presence Ratio: 51.15%
Attribute ID: 236, Name: has_shape::perching-like, Presence Ratio: 48.68%
Attribute ID: 55, Name: has_breast_pattern::solid, Presence Ratio: 54.83%
Attribute ID: 290, Name: has_bill_color::black, Presence Ratio: 44.18%
Attribute ID: 152, Name: has_bill_length::shorter_than_head, Presence Ratio: 56.11%
Attribute ID: 21, Name: has_wing_color::black, Presence Ratio: 42.85%
Attribute ID: 245, Name: has_belly_pattern::solid, Presence Ratio: 57.35%
Attribute ID: 7, Name: has_bill_shape::all-purpose, Presence Ratio: 39.18%
Attribute ID: 36, Name: has_upperparts_color::black, Presence Ratio: 39.12%
Attribute ID: 52, Name: has_underparts_color::white, Presence Ratio: 39.04%
Attribute ID: 210, Name: has_belly_color::white, Presence Ratio: 37.38%
Attribute ID: 237, Name: has_back_pattern::solid, Presence Ratio: 36.50%
Attribute ID: 150, Name: has_bill_length::about_the_same_as_head, Presence Ratio: 36.22%
Attribute ID: 118, Name: has_breast_color::white, Presence Ratio: 35.91%
Attribute ID: 241, Name: has_tail_pattern::solid, Presence Ratio: 35.56%
Attribute ID: 260, Name: has_primary_color::black, Presence Ratio: 35.54%
Attribute ID: 133, Name: has_throat_color::white, Presence Ratio: 34.55%
Attribute ID: 305, Name: has_crown_color::black, Presence Ratio: 32.63%
Attribute ID: 164, Name: has_forehead_color::black, Presence Ratio: 32.35%
Attribute ID: 179, Name: has_under_tail_color::black, Presence Ratio: 31.74%
Attribute ID: 15, Name: has_wing_color::grey, Presence Ratio: 30.04%
Attribute ID: 76, Name: has_tail_shape::notched_tail, Presence Ratio: 29.75%
Attribute ID: 312, Name: has_wing_pattern::multi-colored, Presence Ratio: 29.73%
Attribute ID: 254, Name: has_primary_color::grey, Presence Ratio: 29.56%
Attribute ID: 261, Name: has_primary_color::white, Presence Ratio: 29.01%
Attribute ID: 30, Name: has_upperparts_color::grey, Presence Ratio: 29.00%
